DistrictName,ginivalue
SOUTH ANDAMAN,0.33
NICOBAR,0.33
NORTH AND MIDDLE,0.3
ANDAMAN ANDAMAN AND,0.33
NICOBAR ISLANDS WEST GODAVARI,0.26
PRAKASAM,0.24
KRISHNA,0.33
SRI POTTI SRIRAMULU,0.27
NELLORE SRIKAKULAM,0.27
EAST GODAVARI,0.28
Y.S.R.,0.35
GUNTUR,0.33
CHITTOOR,0.31
VISAKHAPATNAM,0.42
ANANTAPUR,0.27
VIZIANAGARAM,0.28
KURNOOL,0.26
ANDHRA PRADESH,0.32
WEST KAMENG,0.23
PAPUM PARE,0.3
UPPER SUBANSIRI,0.29
EAST SIANG,0.28
LOWER SUBANSIRI,0.33
KURUNG KUMEY,0.23
UPPER SIANG,0.34
DIBANG VALLEY,0.34
ANJAW,0.34
CHANGLANG,0.3
EAST KAMENG,0.29
TAWANG,0.37
LOWER DIBANG VALLEY,0.25
TIRAP,0.22
WEST SIANG,0.31
LOHIT,0.31
ARUNACHAL PRADESH,0.34
DIBRUGARH,0.27
KAMRUP,0.31
METROPOLITAN TINSUKIA,0.24
DHEMAJI,0.18
MORIGAON,0.17
KAMRUP,0.24
CHIRANG,0.2
NALBARI,0.26
SIVASAGAR,0.23
GOLAGHAT,0.22
LAKHIMPUR,0.21
NAGAON,0.24
JORHAT,0.31
UDALGURI,0.19
BONGAIGAON,0.27
BARPETA,0.21
SONITPUR,0.19
GOALPARA,0.24
BAKSA,0.2
DARRANG,0.22
DHUBRI,0.24
KOKRAJHAR,0.23
NORTH CACHAR HILLS,0.19
KARBI ANGLONG,0.17
CACHAR,0.19
KARIMGANJ,0.19
HAILAKANDI,0.21
ASSAM,0.26
KHAGARIA,0.2
SAHARSA,0.23
GOPALGANJ,0.17
BEGUSARAI,0.21
JEHANABAD,0.23
MADHUBANI,0.25
SIWAN,0.19
SUPAUL,0.21
SAMASTIPUR,0.2
ARARIA,0.23
VAISHALI,0.25
NAWADA,0.16
PURNIA,0.18
PATNA,0.34
KISHANGANJ,0.24
MUNGER,0.26
DARBHANGA,0.2
PASHCHIM,0.22
CHAMPARAN LAKHISARAI,0.22
SARAN,0.23
ARWAL,0.21
GAYA,0.21
MADHEPURA,0.22
ROHTAS,0.23
SHEIKHPURA,0.21
BANKA,0.19
AURANGABAD,0.19
PURBA CHAMPARAN,0.23
KATIHAR,0.2
MUZAFFARPUR,0.24
BHOJPUR,0.23
BHAGALPUR,0.24
KAIMUR BHABUA,0.21
BUXAR,0.23
SHEOHAR,0.26
JAMUI,0.21
NALANDA,0.27
SITAMARHI,0.21
CHANDIGARH,0.39
JASHPUR,0.22
KORIYA,0.26
BILASPUR,0.32
SURGUJA,0.25
RAIPUR,0.32
MAHASAMUND,0.25
DURG,0.36
DHAMTARI,0.3
UTTAR BASTAR KANKER,0.25
KORBA,0.34
JANJGIRâ€“CHAMPA,0.24
KABIRDHAM,0.24
RAIGARH,0.27
DAKSHIN BASTAR,0.36
DANTEWADA RAJNANDGAON,0.31
NARAYANPUR,0.29
BIJAPUR,0.29
BASTAR,0.27
CHHATTISGARH,0.31
DADRA AND NAGAR,0.35
HAVELI DIU,0.29
DAMAN,0.28
DAMAN AND DIU,0.28
SOUTH GOA,0.23
NORTH GOA,0.27
GOA,0.25
AMRELI,0.19
JUNAGADH,0.23
RAJKOT,0.29
JAMNAGAR,0.18
AHMEDABAD,0.33
SABARKANTHA,0.22
SURAT,0.29
KACHCHH,0.35
BHARUCH,0.25
BHAVNAGAR,0.24
NAVSARI,0.3
PORBANDAR,0.21
VALSAD,0.32
ANAND,0.21
SURENDRANAGAR,0.33
THE DANGS,0.31
VADODARA,0.33
NARMADA,0.19
GANDHINAGAR,0.3
KHEDA,0.22
MAHESANA,0.32
PANCH MAHALS,0.23
BANASKANTHA,0.22
PATAN,0.33
DAHOD,0.19
TAPI,
GUJARAT,0.31
JHAJJAR,0.25
GURGAON,0.42
SONIPAT,0.24
REWARI,0.32
ROHTAK,0.28
KAITHAL,0.28
MEWAT,0.26
JIND,0.28
KURUKSHETRA,0.3
BHIWANI,0.27
KARNAL,0.34
MAHENDRAGARH,0.25
PANCHKULA,0.44
FARIDABAD,0.42
AMBALA,0.37
HISAR,0.3
PANIPAT,0.28
YAMUNANAGAR,0.26
SIRSA,0.31
FATEHABAD,0.3
PALWAL,
HARYANA,0.34
SHIMLA,0.28
KINNAUR,0.33
KANGRA,0.3
UNA,0.27
LAHAUL AND SPITI,0.25
HAMIRPUR,0.25
SIRMAUR,0.35
BILASPUR,0.38
MANDI,0.24
KULLU,0.26
CHAMBA,0.27
SOLAN,0.32
KUPWARA,0.2
RAJOURI,0.21
KARGIL,0.23
LEH,0.23
ANANTNAG,0.17
PULWAMA,0.2
POONCH,0.22
JAMMU,0.31
KATHUA,0.24
BARAMULLA,0.2
BUDGAM,0.19
SRINAGAR,0.28
UDHAMPUR,0.26
DODA,0.21
SAMBA,
REASI,
RAMBAN,
KISHTWAR,
KULGAM,
SHOPIAN,
GANDERBAL,
BANDIPORA,
JAMMU AND KASHMIR,0.26
PALAMU,0.36
BOKARO,0.29
HAZARIBAGH,0.24
PAKUR,0.23
DHANBAD,0.34
KHUNTI,0.23
RANCHI,0.34
JAMTARA,0.21
GIRIDIH,0.21
PURBI SINGHBHUM,0.26
DEOGHAR,0.27
GARHWA,0.22
KODARMA,0.27
CHATRA,0.21
LATEHAR,0.25
GUMLA,0.21
LOHARDAGA,0.24
GODDA,0.18
DUMKA,0.23
SAHIBGANJ,0.23
RAMGARH,0.18
PASHCHIMI,0.19
SINGHBHUM SIMDEGA,
SARAIKELA KHARSAWAN,
JHARKHAND,0.3
UDUPI,0.32
BANGALORE,0.36
KODAGU,0.26
DAKSHINA KANNADA,0.44
HASSAN,0.18
KOLAR,0.26
CHIKKABALLAPUR,0.39
RAMANAGARA,0.39
MYSORE,0.33
SHIMOGA,0.21
UTTARA KANNADA,0.22
CHAMARAJANAGAR,0.25
TUMKUR,0.24
MANDYA,0.26
CHIKMAGALUR,0.18
CHITRADURGA,0.21
HAVERI,0.24
BANGALORE RURAL,0.29
RAICHUR,0.28
DAVANAGERE,0.28
DHARWAD,0.34
BIDAR,0.23
BELLARY,0.21
BIJAPUR,0.2
BELGAUM,0.26
GADAG,0.26
GULBARGA,0.23
KOPPAL,0.26
BAGALKOT,0.27
YADGIR,
KARNATAKA,0.39
IDUKKI,0.4
THIRUVANANTHAPURAM,0.36
KOTTAYAM,0.37
PATHANAMTHITTA,0.31
KOLLAM,0.35
THRISSUR,0.36
ERNAKULAM,0.42
PALAKKAD,0.39
MALAPPURAM,0.37
ALAPPUZHA,0.32
WAYANAD,0.31
KOZHIKODE,0.33
KANNUR,0.31
KASARAGOD,0.26
KERALA,0.38
LAKSHADWEEP,0.31
INDORE,0.3
ASHOKNAGAR,0.18
CHHATARPUR,0.23
MANDSAUR,0.21
TIKAMGARH,0.19
DEWAS,0.34
UJJAIN,0.35
SHAJAPUR,0.25
NEEMUCH,0.2
DHAR,0.24
GWALIOR,0.33
ALIRAJPUR,0.32
SHIVPURI,0.27
HOSHANGABAD,0.34
BHOPAL,0.46
GUNA,0.23
RATLAM,0.21
DATIA,0.23
RAJGARH,0.3
SEHORE,0.34
RAISEN,0.28
NARSIMHAPUR,0.33
HARDA,0.32
VIDISHA,0.26
JHABUA,0.24
SEONI,0.27
BHIND,0.19
MORENA,0.26
SAGAR,0.26
ANUPPUR,0.37
DAMOH,0.23
CHHINDWARA,0.44
SINGRAULI,0.3
JABALPUR,0.4
SHAHDOL,0.28
WEST NIMAR,0.24
BURHANPUR,0.23
SHEOPUR,0.28
KATNI,0.35
EAST NIMAR,0.23
BALAGHAT,0.27
BARWANI,0.24
DINDORI,0.22
REWA,0.26
MANDLA,0.23
UMARIA,0.25
SIDHI,0.24
BETUL,0.33
SATNA,0.26
PANNA,0.24
MADHYA PRADESH,0.35
MUMBAI SUBURBAN,0.39
SINDHUDURG,0.21
SATARA,0.31
PUNE,0.37
SANGLI,0.24
WARDHA,0.24
KOLHAPUR,0.21
OSMANABAD,0.25
JALNA,0.18
NAGPUR,0.34
THANE,0.37
RAIGARH,0.35
SOLAPUR,0.28
NASHIK,0.3
RATNAGIRI,0.25
LATUR,0.24
AHMADNAGAR,0.24
AURANGABAD,0.28
YAVATMAL,0.25
BID,0.24
DHULE,0.24
GADCHIROLI,0.24
JALGAON,0.26
GONDIA,0.4
BHANDARA,0.24
HINGOLI,0.27
AMRAVATI,0.29
NANDURBAR,0.25
NANDED,0.3
AKOLA,0.25
WASHIM,0.23
CHANDRAPUR,0.3
BULDANA,0.25
PARBHANI,0.25
MUMBAI,
MAHARASHTRA,0.37
TAMENGLONG,0.15
IMPHAL EAST,0.18
CHURACHANDPUR,0.25
UKHRUL,0.16
IMPHAL WEST,0.21
CHANDEL,0.24
BISHNUPUR,0.14
THOUBAL,0.23
SENAPATI,0.12
MANIPUR,0.21
SOUTH GARO HILLS,0.18
EAST GARO HILLS,0.17
EAST KHASI HILLS,0.25
WEST GARO HILLS,0.2
JAINTIA HILLS,0.18
RI BHOI,0.19
WEST KHASI HILLS,0.19
MEGHALAYA,0.22
AIZAWL,0.26
CHAMPHAI,0.23
KOLASIB,0.25
LUNGLEI,0.24
LAWNGTLAI,0.25
MAMIT,0.26
SERCHHIP,0.25
SAIHA,0.25
MIZORAM,0.27
MON,0.19
LONGLENG,0.22
KOHIMA,0.21
TUENSANG,0.2
PEREN,0.2
KIPHIRE,0.19
PHEK,0.21
DIMAPUR,0.24
MOKOKCHUNG,0.18
ZUNHEBOTO,0.2
WOKHA,0.23
NAGALAND,0.22
NORTH,0.34
EAST,0.34
NEW DELHI,0.34
WEST,0.34
SOUTH WEST,0.34
SOUTH,0.34
NORTH WEST,0.36
NORTH EAST,0.22
CENTRAL,
DELHI,0.34
DHENKANAL,0.24
CUTTACK,0.29
KENDRAPARA,0.21
ANGUL,0.26
PURI,0.22
KHORDHA,0.4
JAJPUR,0.24
JAGATSINGHPUR,0.24
BHADRAK,0.19
JHARSUGUDA,0.34
SAMBALPUR,0.31
GANJAM,0.27
BARGARH,0.24
BALESHWAR,0.27
NAYAGARH,0.26
BALANGIR,0.22
DEBAGARH,0.29
KENDUJHAR,0.3
GAJAPATI,0.29
RAYAGADA,0.24
SUBARNAPUR,0.23
KANDHAMAL,0.26
SUNDARGARH,0.37
NUAPADA,0.17
KALAHANDI,0.24
BAUDH,0.19
MAYURBHANJ,0.25
KORAPUT,0.33
NABARANGAPUR,0.28
MALKANGIRI,0.21
ODISHA,0.3
PUDUCHERRY,0.32
YANAM,0.32
MAHE,0.32
KARAIKAL,0.31
PONDICHERRY,0.32
FATEHGARH SAHIB,0.32
RUPNAGAR,0.31
PATIALA,0.32
SAHIBZADA AJIT SINGH,0.36
NAGAR MOHALI MANSA,0.26
KAPURTHALA,0.33
NAWANSHAHR,0.29
HOSHIARPUR,0.26
GURDASPUR,0.26
JALANDHAR,0.33
MOGA,0.27
TARN TARAN,0.31
FARIDKOT,0.31
BARNALA,0.31
FIROZPUR,0.3
SANGRUR,0.35
LUDHIANA,0.29
BATHINDA,0.32
MUKTSAR,0.26
AMRITSAR,0.3
PUNJAB,0.31
JHUNJHUNU,0.23
JAIPUR,0.32
PALI,0.2
SIKAR,0.26
HANUMANGARH,0.24
CHURU,0.21
JODHPUR,0.37
DAUSA,0.22
TONK,0.29
GANGANAGAR,0.25
BIKANER,0.29
BARMER,0.25
ALWAR,0.39
JALOR,0.25
KOTA,0.28
NAGAUR,0.22
AJMER,0.31
BHILWARA,0.24
RAJSAMAND,0.24
JAISALMER,0.2
CHITTAURGARH,0.3
SAWAI MADHOPUR,0.21
UDAIPUR,0.28
BUNDI,0.24
JHALAWAR,0.2
KARAULI,0.23
BARAN,0.2
BANSWARA,0.27
DHAULPUR,0.25
SIROHI,0.29
BHARATPUR,0.25
DUNGARPUR,0.24
PRATAPGARH,
RAJASTHAN,0.29
EAST DISTRICT,0.28
WEST DISTRICT,0.19
SOUTH DISTRICT,0.24
NORTH DISTRICT,0.24
SIKKIM,0.26
THIRUVALLUR,0.3
CHENNAI,0.34
THANJAVUR,0.28
THIRUVARUR,0.23
NAMAKKAL,0.32
NAGAPATTINAM,0.26
KANYAKUMARI,0.36
TIRUCHIRAPPALLI,0.29
KANCHEEPURAM,0.31
COIMBATORE,0.34
PUDUKKOTTAI,0.27
PERAMBALUR,0.27
ARIYALUR,0.24
ERODE,0.31
KARUR,0.3
DINDIGUL,0.28
MADURAI,0.28
THENI,0.24
TIRUNELVELI,0.28
VELLORE,0.28
RAMANATHAPURAM,0.25
THOOTHUKUDI,0.2
SALEM,0.26
TIRUVANNAMALAI,0.29
DHARMAPURI,0.32
SIVAGANGA,0.27
VIRUDHUNAGAR,0.27
THE NILGIRIS,0.3
KRISHNAGIRI,0.39
CUDDALORE,0.27
VILUPPURAM,0.27
TIRUPPUR,
TAMIL NADU,0.33
MEDAK,0.23
RANGAREDDY,0.31
MAHBUBNAGAR,0.25
KARIMNAGAR,0.2
ADILABAD,0.37
NIZAMABAD,0.27
WARANGAL,0.23
KHAMMAM,0.23
HYDERABAD,0.26
NALGONDA,0.32
TELANGANA,0.17
DHALAI,0.17
NORTH TRIPURA,0.24
SOUTH TRIPURA,0.24
WEST TRIPURA,0.27
TRIPURA,0.25
GHAZIABAD,0.4
GAUTAM BUDDHA,0.47
NAGAR MUZAFFARNAGAR,0.27
MEERUT,0.46
AURAIYA,0.19
PILIBHIT,0.25
SAHARANPUR,0.26
HATHRAS,0.25
ALIGARH,0.28
BULANDSHAHR,0.26
MATHURA,0.23
KANPUR DEHAT,0.2
JHANSI,0.34
BAGHPAT,0.28
DEORIA,0.31
SHRAWASTI,0.15
JYOTIBA PHULE NAGAR,0.24
SULTANPUR,0.31
VARANASI,0.32
ETAWAH,0.21
LALITPUR,0.23
KANPUR NAGAR,0.33
BAREILLY,0.27
GHAZIPUR,0.24
KUSHINAGAR,0.24
GORAKHPUR,0.32
LUCKNOW,0.42
KHERI,0.24
BIJNOR,0.25
SIDDHARTHNAGAR,0.27
FARRUKHABAD,0.24
AGRA,0.26
MORADABAD,0.27
SANT KABIR NAGAR,0.25
CHANDAULI,0.3
ALLAHABAD,0.37
VARANASI,0.32
ETAWAH,0.21
LALITPUR,0.23
KANPUR NAGAR,0.33
BAREILLY,0.27
GHAZIPUR,0.24
KUSHINAGAR,0.24
GORAKHPUR,0.32
LUCKNOW,0.42
KHERI,0.24
BIJNOR,0.25
SIDDHARTHNAGAR,0.27
FARRUKHABAD,0.24
AGRA,0.26
MORADABAD,0.27
SANT KABIR NAGAR,0.25
CHANDAULI,0.3
ALLAHABAD,0.37
BUDAUN,0.22
SHAHJAHANPUR,0.21
BAHRAICH,0.24
KANSHIRAM NAGAR,0.29
FIROZABAD,0.24
MAHOBA,0.26
BALLIA,0.27
MIRZAPUR,0.28
HARDOI,0.21
JAUNPUR,0.23
UNNAO,0.27
AMBEDKAR NAGAR,0.22
ETAH,0.3
RAMPUR,0.21
JALAUN,0.28
BALRAMPUR,0.2
GONDA,0.24
MAHARAJGANJ,0.26
BARABANKI,0.19
CHITRAKOOT,0.17
SITAPUR,0.26
AZAMGARH,0.27
FATEHPUR,0.19
BASTI,0.31
FAIZABAD,0.39
SONBHADRA,0.27
MAINPURI,0.25
RAE BARELI,0.22
PRATAPGARH,0.23
HAMIRPUR,0.24
MAU,0.28
BANDA,0.22
KAUSHAMBI,0.27
SANT RAVIDAS NAGAR,0.24
BHADOHI KANNAUJ,0.25
UTTAR PRADESH,0.31
CHAMOLI,0.2
RUDRAPRAYAG,0.19
TEHRI GARHWAL,0.2
PITHORAGARH,0.25
BAGESHWAR,0.26
UTTARKASHI,0.21
DEHRADUN,0.28
HARIDWAR,0.48
GARHWAL,0.26
ALMORA,0.27
CHAMPAWAT,0.29
UDHAM SINGH NAGAR,0.3
NAINITAL,0.33
UTTARAKHAND,0.35
KOLKATA,0.4
JALPAIGURI,0.22
DARJEELING,0.28
NORTH TWENTY FOUR,0.38
PARGANAS HAORA,0.31
PURBA MEDINIPUR,0.32
MALDAH,0.26
SOUTH TWENTY FOUR,0.29
PARGANAS KOCH BIHAR,0.2
PASCHIM MEDINIPUR,0.28
BIRBHUM,0.24
MURSHIDABAD,0.22
BANKURA,0.25
BARDDHAMAN,0.31
DAKSHIN DINAJPUR,0.24
HUGLI,0.28
NADIA,0.25
UTTAR DINAJPUR,0.28
PURULIYA,0.23
WEST BENGAL,0.33
